K,scope,row_type,run_id,run_count,period_count,periods_with_waiting_carryover,waiting_carryover_period_pct,periods_with_inservice_carryover,inservice_carryover_period_pct,periods_with_inference_unfinished_carryover,inference_unfinished_carryover_period_pct,mean_waiting_carryover_depth,p95_waiting_carryover_depth,max_waiting_carryover_depth,mean_inservice_carryover_depth,max_inservice_carryover_depth,mean_inference_unfinished_depth,p95_inference_unfinished_depth,max_inference_unfinished_depth,maximum_consecutive_inference_unfinished_carryover_periods,pre_ready_carryover_period_pct,mean_pre_ready_carryover_depth,max_pre_ready_carryover_depth
6,all_60s,max,ALL,5,1800.0,1233.0,68.5,1779.0,98.83333333333333,1796.0,99.77777777777777,8.92388888888889,25.0,48.0,0.9883333333333333,1.0,9.902777777777779,26.0,49.0,1796.0,0.6111111111111112,0.12222222222222222,36.0
6,first_1s_excluded,run,run01,1,1770,739,41.75141242937853,1746,98.64406779661017,1770,100.0,1.0627118644067797,1.0,39,0.9864406779661017,1,2.049152542372881,2.0,40,1770,0.0,0.0,0
6,first_1s_excluded,run,run02,1,1770,1207,68.19209039548022,1737,98.13559322033898,1770,100.0,8.653107344632769,25.0,31,0.9813559322033898,1,9.634463276836158,26.0,32,1770,0.0,0.0,0
6,first_1s_excluded,run,run03,1,1770,944,53.333333333333336,1753,99.03954802259886,1770,100.0,1.5717514124293785,7.5499999999999545,33,0.9903954802259887,1,2.562146892655367,8.549999999999955,34,1770,0.0,0.0,0
6,first_1s_excluded,run,run04,1,1770,925,52.259887005649716,1749,98.8135593220339,1770,100.0,2.0033898305084747,14.0,33,0.988135593220339,1,2.9915254237288136,15.0,34,1770,0.0,0.0,0
6,first_1s_excluded,run,run05,1,1770,1001,56.55367231638419,1748,98.75706214689266,1770,100.0,1.4491525423728813,1.0,37,0.9875706214689266,1,2.436723163841808,2.0,38,1770,0.0,0.0,0
6,first_1s_excluded,mean,ALL,5,1770.0,963.2,54.4180790960452,1746.6,98.67796610169492,1770.0,100.0,2.9480225988700566,9.70999999999999,34.6,0.986779661016949,1.0,3.934802259887005,10.70999999999999,35.6,1770.0,0.0,0.0,0.0
6,first_1s_excluded,sample_sd,ALL,5,0.0,168.0482073691951,9.494249003909326,5.9413803110051795,0.33567120401159395,0.0,0.0,3.2068463251990265,10.106705694735552,3.2863353450309964,0.0033567120401159266,0.0,3.203904082916691,10.106705694735552,3.2863353450309964,0.0,0.0,0.0,0.0
6,first_1s_excluded,min,ALL,5,1770.0,739.0,41.75141242937853,1737.0,98.13559322033898,1770.0,100.0,1.0627118644067797,1.0,31.0,0.9813559322033898,1.0,2.049152542372881,2.0,32.0,1770.0,0.0,0.0,0.0
6,first_1s_excluded,max,ALL,5,1770.0,1207.0,68.19209039548022,1753.0,99.03954802259886,1770.0,100.0,8.653107344632769,25.0,39.0,0.9903954802259887,1.0,9.634463276836158,26.0,40.0,1770.0,0.0,0.0,0.0
