fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
2,133,4,7,4,CA_start,"(7, 4)",21684,15
2,134,4,7,5,CA_start,"(7, 5)",14706,13
2,135,4,7,6,CA_start,"(7, 6)",8737,9
2,136,4,8,0,KCA_start,"(4, 8, 0)",7103,4
2,137,4,8,1,KCA_start,"(4, 8, 1)",7106,4
2,138,4,8,2,KCA_start,"(4, 8, 2)",7107,4
2,139,4,8,3,KCA_start,"(4, 8, 3)",7101,4
2,140,4,8,4,CA_start,"(8, 4)",21631,15
2,141,4,8,5,CA_start,"(8, 5)",14532,11
2,142,4,8,6,CA_start,"(8, 6)",7445,10
2,143,4,8,7,CA_start,"(8, 7)",1294,5
2,144,5,1,0,KCA_start,"(5, 1, 0)",35853,4
2,145,5,2,0,KCA_start,"(5, 2, 0)",7119,4
2,146,5,2,1,KCA_start,"(5, 2, 1)",28727,4
2,147,5,3,0,KCA_start,"(5, 3, 0)",7131,4
2,148,5,3,1,KCA_start,"(5, 3, 1)",7132,4
2,149,5,3,2,KCA_start,"(5, 3, 2)",21582,4
2,150,5,4,0,KCA_start,"(5, 4, 0)",7130,4
2,151,5,4,1,KCA_start,"(5, 4, 1)",7139,4
2,152,5,4,2,KCA_start,"(5, 4, 2)",7143,4
2,153,5,4,3,KCA_start,"(5, 4, 3)",14413,4
2,154,5,5,0,KCA_start,"(5, 5, 0)",7068,4
2,155,5,5,1,KCA_start,"(5, 5, 1)",7072,4
2,156,5,5,2,KCA_start,"(5, 5, 2)",7079,4
2,157,5,5,3,KCA_start,"(5, 5, 3)",7083,4
2,158,5,5,4,KCA_start,"(5, 5, 4)",7080,4
2,159,5,6,0,KCA_start,"(5, 6, 0)",7051,4
2,160,5,6,1,KCA_start,"(5, 6, 1)",7058,4
2,161,5,6,2,KCA_start,"(5, 6, 2)",7063,4
2,162,5,6,3,KCA_start,"(5, 6, 3)",7065,4
2,163,5,6,4,KCA_start,"(5, 6, 4)",7049,4
2,164,5,6,5,CA_start,"(6, 5)",20704,13
2,165,5,7,0,KCA_start,"(5, 7, 0)",7052,4
2,166,5,7,1,KCA_start,"(5, 7, 1)",7055,4
2,167,5,7,2,KCA_start,"(5, 7, 2)",7060,4
2,168,5,7,3,KCA_start,"(5, 7, 3)",7066,4
2,169,5,7,4,KCA_start,"(5, 7, 4)",7058,4
2,170,5,7,5,CA_start,"(7, 5)",14706,13
2,171,5,7,6,CA_start,"(7, 6)",8737,9
2,172,5,8,0,KCA_start,"(5, 8, 0)",7049,4
2,173,5,8,1,KCA_start,"(5, 8, 1)",7052,4
2,174,5,8,2,KCA_start,"(5, 8, 2)",7056,4
2,175,5,8,3,KCA_start,"(5, 8, 3)",7062,4
2,176,5,8,4,KCA_start,"(5, 8, 4)",7056,4
2,177,5,8,5,CA_start,"(8, 5)",14532,11
2,178,5,8,6,CA_start,"(8, 6)",7445,10
2,179,5,8,7,CA_start,"(8, 7)",1294,5
2,180,6,1,0,KCA_start,"(6, 1, 0)",42974,4
2,181,6,2,0,KCA_start,"(6, 2, 0)",7019,4
2,182,6,2,1,KCA_start,"(6, 2, 1)",35956,4
2,183,6,3,0,KCA_start,"(6, 3, 0)",7077,4
2,184,6,3,1,KCA_start,"(6, 3, 1)",7086,4
2,185,6,3,2,KCA_start,"(6, 3, 2)",28808,4
2,186,6,4,0,KCA_start,"(6, 4, 0)",7074,4
2,187,6,4,1,KCA_start,"(6, 4, 1)",7091,4
