fold,run,K,C,A_start,training_n,training_runs,test_n,train_W_q25_ns,train_W_q75_ns,test_low_n,test_high_n,test_low_service_mean_ms,test_high_service_mean_ms,high_minus_low_ms,heldout_spearman_W_S,heldout_service_CDF_mean
3,82,3,1,0,21521,4,5379,219623.0,7875711.0,1065,1736,4.842992562441315,4.612569137096774,-0.23042342534454097,-0.5730413981768081,0.49881868714180594
3,87,3,2,0,7163,4,1793,40018.5,217984.0,471,405,7.84466378343949,8.446552775308643,0.6018889918691528,0.47403908491064844,0.4729551899560696
3,87,3,2,1,14369,4,3591,72233.0,7133827.0,1157,719,8.138421500432152,4.758654205841446,-3.379767294590706,-0.8062160263400779,0.49741097123070743
3,92,3,3,0,7160,4,1790,33701.25,52632.5,275,413,11.260584814545455,11.635996249394674,0.37541143484921946,0.14202730230207763,0.5971718267220124
3,92,3,3,1,7162,4,1790,40040.25,110814.25,475,463,12.147267155789475,11.708831311015118,-0.43843584477435726,-0.22397186114041237,0.5919205022160721
3,92,3,3,2,7192,4,1799,42778.0,209878.0,466,471,12.047203345493562,11.718006042462845,-0.3291973030307176,-0.2755233728369109,0.6030828522334433
3,97,3,4,0,7164,4,1790,44194.75,177204.5,444,562,11.430374864864865,12.71825922241993,1.2878843575550647,0.48657538227920577,0.5021678067556903
3,97,3,4,1,7162,4,1790,42473.25,133477.25,488,420,11.960039727459018,11.887388642857143,-0.07265108460187442,-0.07993341230295685,0.4645290398268952
3,97,3,4,2,7161,4,1790,41065.0,134085.0,510,454,11.899910752941176,11.607005629955948,-0.2929051229852284,-0.22488202626804518,0.47660722769751424
3,102,3,5,0,7161,4,1788,39880.0,84069.0,549,435,10.878170852459018,12.018578742528735,1.1404078900697172,0.34248822952531044,0.41802219454308653
3,102,3,5,1,7161,4,1788,46205.0,157173.0,427,463,11.9597403676815,11.926613321814255,-0.033127045867244576,-0.04651166217961293,0.4217673128151587
3,102,3,5,2,7161,4,1791,40555.0,156002.0,459,395,11.586574681917211,11.385191592405064,-0.2013830895121469,-0.11297940279976498,0.41012195299762166
3,107,3,6,0,7138,4,1784,38447.25,65090.5,370,492,11.212206632432434,11.914881729674798,0.7026750972423645,0.30219291804408804,0.551122364104452
3,107,3,6,1,7139,4,1784,43690.5,125178.5,422,583,12.07653832464455,11.956068082332761,-0.12047024231178938,-0.06701442900782568,0.5658265216580182
3,107,3,6,2,7138,4,1782,45660.25,130372.25,428,491,12.090246978971962,11.745737716904276,-0.3445092620676853,-0.24536043060840854,0.5610467867869567
