fold,model,scope,stage,bin,n,predicted,observed
1,B0,K7,On_time,6,3715,0.648883163683126,0.6751009421265142
1,B0,K7,On_time,7,3607,0.7486287614062989,0.7992791793734405
1,B0,K7,On_time,8,3203,0.8467333281204057,0.8988448329690915
1,B0,K7,On_time,9,669,0.9209230782266408,0.9671150971599403
1,B1,ALL,Queue,0,334696,0.01540818489560076,0.0077652556349642665
1,B1,ALL,Queue,1,20074,0.14127549784505,0.14401713659459997
1,B1,ALL,Queue,2,8415,0.24296042933129322,0.36506238859180035
1,B1,ALL,Queue,3,3639,0.3444961062079781,0.6075845012366035
1,B1,ALL,Queue,4,2600,0.44914448562362097,0.791923076923077
1,B1,ALL,Queue,5,2551,0.5500188568621825,0.8847510780086241
1,B1,ALL,Queue,6,2785,0.6519807485728416,0.8868940754039497
1,B1,ALL,Queue,7,2837,0.7503976326806839,0.9263306309481847
1,B1,ALL,Queue,8,3293,0.850136128891455,0.9878530215608867
1,B1,ALL,Queue,9,13841,0.989718715138511,0.9982660212412398
1,B1,ALL,Service,0,219034,0.018901470554894866,0.018252873983034597
1,B1,ALL,Service,1,27812,0.14814836609998028,0.07701711491442542
1,B1,ALL,Service,2,21259,0.2446125644464431,0.10066324850651488
1,B1,ALL,Service,3,19527,0.35113270810571334,0.3068059609771086
1,B1,ALL,Service,4,14306,0.44775432903803225,0.4271634279323361
1,B1,ALL,Service,5,15450,0.5530971628455698,0.6621359223300971
1,B1,ALL,Service,6,13426,0.6461436702827464,0.7763295099061522
1,B1,ALL,Service,7,13758,0.7489087134436907,0.8744730338712022
1,B1,ALL,Service,8,18000,0.8533161498104321,0.9220555555555555
1,B1,ALL,Service,9,32159,0.9497822719173445,0.9641468951148978
1,B1,ALL,On_time,0,65861,0.028804474599424,0.006361883360410561
1,B1,ALL,On_time,1,19850,0.1466674547255746,0.0653904282115869
1,B1,ALL,On_time,2,15885,0.24892525750209502,0.15335221907459867
1,B1,ALL,On_time,3,16522,0.35109525081876447,0.2213412419803898
1,B1,ALL,On_time,4,15124,0.44770466445800144,0.37807458344353345
1,B1,ALL,On_time,5,14328,0.5492187504461997,0.6060859854829704
1,B1,ALL,On_time,6,13549,0.6488953240337209,0.7485423278470735
1,B1,ALL,On_time,7,14284,0.7524355578361489,0.8116774012881546
1,B1,ALL,On_time,8,22346,0.8567392909395629,0.8881231540320416
1,B1,ALL,On_time,9,196982,0.9766761882208185,0.9798407976363323
1,B1,K5,Queue,0,70648,0.007772709486621627,0.0022789038613973502
1,B1,K5,Queue,1,287,0.1377142884129578,0.08362369337979095
1,B1,K5,Queue,2,99,0.24329497568940614,0.25252525252525254
1,B1,K5,Queue,3,38,0.3395349150983097,0.2894736842105263
1,B1,K5,Queue,4,20,0.4549534915491985,0.45
1,B1,K5,Queue,5,13,0.5507241290192952,0.6153846153846154
1,B1,K5,Queue,6,12,0.6669751127893427,0.6666666666666666
1,B1,K5,Queue,7,8,0.7335879795595848,0.375
1,B1,K5,Queue,8,10,0.8579123077472943,0.6
1,B1,K5,Queue,9,12,0.97006334003945,0.75
1,B1,K5,Service,0,50964,0.027056010357154908,0.07632838866650969
1,B1,K5,Service,1,7679,0.14388877139819647,0.21083474410730563
1,B1,K5,Service,2,5014,0.24782926744887065,0.2449142401276426
1,B1,K5,Service,3,3201,0.34789654196439146,0.27616369884411124
1,B1,K5,Service,4,2359,0.44433385052802093,0.314540059347181
1,B1,K5,Service,5,1061,0.5431815352684051,0.38077285579641845
1,B1,K5,Service,6,499,0.6457312655897999,0.31462925851703405
1,B1,K5,Service,7,244,0.7438243345422111,0.32786885245901637
1,B1,K5,Service,8,118,0.8402740580399736,0.3728813559322034
1,B1,K5,Service,9,8,0.9097239749652561,0.75
1,B1,K5,On_time,0,104,0.044046446852736364,0.3173076923076923
1,B1,K5,On_time,1,178,0.15518907800782078,0.5449438202247191
1,B1,K5,On_time,2,295,0.2569034667367799,0.6101694915254238
1,B1,K5,On_time,3,589,0.3511308228493061,0.6604414261460102
1,B1,K5,On_time,4,1151,0.4556665115523777,0.6185925282363163
1,B1,K5,On_time,5,2564,0.5557726121458015,0.6883775351014041
1,B1,K5,On_time,6,3443,0.6535321640064355,0.7252396166134185
1,B1,K5,On_time,7,5043,0.7526025146665755,0.7638310529446758
1,B1,K5,On_time,8,7785,0.8566291962891245,0.7895953757225433
1,B1,K5,On_time,9,49995,0.9684509772888052,0.9232323232323232
1,B1,K6,Queue,0,69216,0.02455415634461274,0.011991447064262598
