acquisition_id,round,trace,policy,phase,K,window,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_07,2,B,FIXED_C2,1,6,phase_remainder,16,30,2520,822,32.6190476190476,28.7104431535714,38.53724575,39.84353911,7.44659219007936,15.98293155,17.10071765,8.6359299031746,10.01866955,11.18538039,0.557998345634921,1.8489725,3.19234332,12.0699227146825,14.617265,16.68255135,180.357142857143,1.34488628328571,8,5.17566063764286,13,5.14771213364286,13,1.5577485635,2
primary_07,2,B,FIXED_C2,2,7,transition,30,31,210,89,42.3809523809524,31.3609659333333,44.19789375,46.26426255,9.54542078571428,22.32006725,23.99971597,8.46065045238095,10.35761095,11.82643323,0.633964638095238,2.04719745,3.24851692,12.7209300571429,15.8035844,17.34481801,209,1.999583962,6,6.574035537,10,6.539325634,10,1.769923689,2
primary_07,2,B,FIXED_C2,2,7,phase_remainder,31,45,2940,1315,44.7278911564626,32.464722392517,46.3596789,51.36182958,10.186327564966,23.03270405,25.87564213,8.57370065510204,10.72449965,12.74683663,0.73183359829932,2.6814106,4.48650584,12.9728605741497,16.6622439,18.74830543,210,2.13909290407143,8,6.81760570221429,13,6.78229569492857,13,1.80052702192857,2
primary_07,2,B,FIXED_C2,3,6,transition,45,46,180,60,33.3333333333333,28.7132895055556,38.59733355,39.46747311,7.50116658333333,16.0912152,17.37538914,8.63337543333333,9.9680115,11.1585341,0.660786938888889,2.042368,3.81098807,11.91796055,14.299863,15.36493282,181,1.355666772,4,5.184117553,9,5.154442918,9,1.564276233,2
primary_07,2,B,FIXED_C2,3,6,phase_remainder,46,60,2520,816,32.3809523809524,28.5193386365079,38.3671345,39.94680408,7.35966278095238,15.9268415,16.92798943,8.65871703174603,10.00877095,11.22921989,0.567006963492063,1.88319325,3.48023604,11.9339518603175,14.3735737,16.67993534,180,1.32473930057143,4,5.13312825271429,8,5.10370246257143,8,1.55821636385714,2
primary_08,2,B,K_LOOKUP_C2_C4,0,7,startup,0,1,210,210,100,287.643608028571,340.85202385,348.26405548,159.983491747619,207.8562293,214.1325925,18.0869336857143,22.22240345,58.1969622,79.7656318952381,224.0043302,233.58645959,29.8075507,36.4885154,266.24582217,158,28.500175659,50,54.43888181,74,54.303995523,73,2.930770879,4
primary_08,2,B,K_LOOKUP_C2_C4,0,7,phase_remainder,1,15,2940,1585,53.9115646258503,50.1348469942177,173.90186325,231.9194618,20.1688990908163,137.63914845,199.49973787,15.2139798853741,19.33301855,21.92156666,1.00143297517007,3.22155395,5.84892691,13.7505350428571,18.3294579,21.57722369,213.5,4.5994943525,50,10.9527422493571,59,10.9066870374286,59,3.25516082214286,4
primary_08,2,B,K_LOOKUP_C2_C4,1,6,transition,15,16,180,59,32.7777777777778,28.8578669333333,38.4529515,40.14489378,7.33646216666667,15.9372165,17.21921775,8.5830081,10.11668645,11.36964746,0.528232366666667,1.7635674,2.61837223,12.4101643,15.433918,16.29694008,181,1.32056319,4,5.208466497,9,5.180485118,9,1.558991907,3
primary_08,2,B,K_LOOKUP_C2_C4,1,6,phase_remainder,16,30,2520,824,32.6984126984127,28.6985437595238,38.53933785,40.09649391,7.34098885912698,15.78879515,16.81042818,8.67450706349206,10.09113435,11.60812154,0.568166077380952,1.85895125,3.32278961,12.1148817595238,14.71428125,16.19586089,180,1.32137799464286,4,5.16528733785714,8,5.13672128271429,8,1.56096073257143,2
primary_08,2,B,K_LOOKUP_C2_C4,2,7,transition,30,31,210,99,47.1428571428571,35.0524899190476,45.9203967,49.40461222,5.65976335238095,16.8832708,18.77064637,14.9656445333333,19.9151051,22.12005961,0.897046576190476,3.69043935,5.20948117,13.5300354571429,17.2828102,19.34018366,209,1.188550304,5,7.354757397,14,7.3162552,14,3.136519866,4
